date,kharid_dollar,foroosh_dollar,dollar_farda,nerkh_arz,sekke_tala,sarafi_online,tavvarom,entekhabat,eeteraaz,tahrim,barjam,enfejar,teror,hamle,jang
2025-08-01 11:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,27,57
2025-08-01 11:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,22,79
2025-08-01 11:14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
2025-08-01 11:15:00,0,0,0,0,0,0,0,0,0,0,0,0,23,23,72
2025-08-01 11:16:00,0,0,0,0,0,0,51,43,0,0,0,26,0,28,76
2025-08-01 11:17:00,0,0,0,0,0,0,0,0,0,0,0,24,0,0,63
2025-08-01 11:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,25,44
2025-08-01 11:19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,30,46
2025-08-01 11:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
2025-08-01 11:21:00,0,0,0,0,63,0,0,0,0,0,0,0,0,0,60
2025-08-01 11:22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,23,72
2025-08-01 11:23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,58
2025-08-01 11:24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32,80
2025-08-01 11:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2025-08-01 11:26:00,0,0,0,0,0,0,0,0,0,0,0,0,0,31,61
2025-08-01 11:27:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
2025-08-01 11:28:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
2025-08-01 11:29:00,0,0,0,0,0,0,0,0,0,0,0,0,0,20,79
2025-08-01 11:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,68
2025-08-01 11:31:00,0,0,0,60,0,0,0,0,0,0,0,0,0,27,62
2025-08-01 11:32:00,0,0,0,0,0,0,0,0,0,0,0,0,0,35,66
2025-08-01 11:33:00,0,0,0,0,0,0,0,0,0,0,0,0,0,29,70
2025-08-01 11:34:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
2025-08-01 11:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,28,59
2025-08-01 11:36:00,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59
2025-08-01 11:37:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
2025-08-01 11:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
2025-08-01 11:39:00,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40
2025-08-01 11:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,68
2025-08-01 11:41:00,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59
2025-08-01 11:42:00,0,0,0,0,0,0,0,0,0,0,0,0,0,36,66
2025-08-01 11:43:00,0,0,0,0,0,0,0,0,0,0,0,0,0,29,63
2025-08-01 11:44:00,0,0,0,0,0,0,47,0,0,0,0,0,0,0,55
2025-08-01 11:45:00,0,0,0,0,0,0,40,0,0,0,0,0,0,40,65
2025-08-01 11:46:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2025-08-01 11:47:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
2025-08-01 11:48:00,0,0,0,0,0,0,0,0,0,0,0,0,0,35,63
2025-08-01 11:49:00,0,0,0,0,0,0,0,0,0,0,0,0,0,21,72
2025-08-01 11:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,22,66
2025-08-01 11:51:00,0,0,0,0,0,0,0,0,0,0,0,0,0,33,74
2025-08-01 11:52:00,0,0,0,0,0,0,0,0,0,0,0,0,0,21,59
2025-08-01 11:53:00,0,0,0,0,0,0,0,44,0,0,0,0,0,0,66
2025-08-01 11:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52
2025-08-01 11:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,28,70
2025-08-01 11:56:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
2025-08-01 11:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,29,39
2025-08-01 11:58:00,0,0,0,0,0,0,0,41,0,0,0,0,0,34,64
2025-08-01 11:59:00,0,0,0,0,0,0,0,0,0,0,0,0,0,39,58
2025-08-01 12:00:00,0,0,0,0,0,0,0,0,0,0,0,23,0,0,55
2025-08-01 12:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
2025-08-01 12:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
2025-08-01 12:03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2025-08-01 12:04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48
2025-08-01 12:05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,28,56
2025-08-01 12:06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
2025-08-01 12:07:00,0,0,68,0,0,41,0,0,0,0,0,0,0,21,66
2025-08-01 12:08:00,0,0,0,0,0,0,0,0,0,0,0,21,0,26,53
2025-08-01 12:09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42
2025-08-01 12:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,25,65
2025-08-01 12:11:00,0,0,0,0,0,0,0,41,0,0,0,0,0,21,53
2025-08-01 12:12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,26,52
2025-08-01 12:13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,30,74
2025-08-01 12:14:00,0,0,0,0,0,0,0,38,0,0,0,0,0,0,59
2025-08-01 12:15:00,0,0,0,0,0,0,0,45,0,0,0,0,0,27,66
2025-08-01 12:16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,20,62
2025-08-01 12:17:00,0,0,0,0,0,0,0,0,0,0,0,0,20,26,67
2025-08-01 12:18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
2025-08-01 12:19:00,0,0,0,0,0,0,0,0,0,0,0,21,0,25,61
2025-08-01 12:20:00,0,0,0,0,0,0,0,0,0,0,22,0,0,25,47
2025-08-01 12:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,21,60
2025-08-01 12:22:00,0,0,0,0,0,0,0,51,0,0,0,0,0,25,77
2025-08-01 12:23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2025-08-01 12:24:00,0,0,0,0,0,0,0,63,0,0,0,0,0,0,57
2025-08-01 12:25:00,0,0,0,0,0,0,0,0,0,0,0,0,28,20,71
2025-08-01 12:26:00,0,0,0,0,0,0,0,0,0,0,0,25,0,0,53
2025-08-01 12:27:00,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42
2025-08-01 12:28:00,0,0,0,0,75,0,0,0,0,0,0,0,0,24,65
2025-08-01 12:29:00,0,0,0,0,0,0,38,0,0,0,0,0,0,25,71
2025-08-01 12:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,20,65
2025-08-01 12:31:00,0,0,0,95,0,0,0,0,0,0,0,0,0,0,61
2025-08-01 12:32:00,0,0,0,0,0,0,0,0,0,0,0,0,0,32,61
2025-08-01 12:33:00,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34
2025-08-01 12:34:00,0,0,0,0,0,0,0,0,0,0,0,0,0,26,76
2025-08-01 12:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,20,53
2025-08-01 12:36:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
2025-08-01 12:37:00,0,0,0,0,0,0,0,0,0,0,0,0,0,35,45
2025-08-01 12:38:00,0,0,0,0,0,0,0,0,0,0,0,0,0,21,55
2025-08-01 12:39:00,0,0,0,0,0,0,32,0,0,0,0,0,0,20,71
2025-08-01 12:40:00,0,0,0,0,0,0,0,33,0,0,0,0,0,16,52
